Condition;Area;Feret;AR
Data1;48;8.94427;1.07874
Data1;132;14.317820000000001;1.0458
Data1;55;9.48683;1.08364
Data1;43;8.60233;1.07142
Data1;54;9.48683;1.1188
Data1;559;35.0;1.41856
Data1;62;10.198039999999999;1.15106
Data1;41;8.60233;1.10287
Data1;48;9.05539;1.0605200000000001
Data1;35;8.06226;1.22171
Data1;30;7.2111;1.11604
Data1;34;7.81025;1.0918
Data1;27;7.2111;1.21036
Data1;230;20.591260000000002;1.3060100000000001
Data1;391;27.20294;1.31428
Data1;115;13.892439999999999;1.14097
Data1;45;8.60233;1.12001
Data1;520;31.7805;1.39242
Data1;46;9.21954;1.1551200000000001
Data1;71;10.81665;1.05843
Data1;256;28.071340000000003;1.79909
Data1;23;7.07107;1.26214
Data1;522;32.695570000000004;1.53946
Data1;55;10.77033;1.37059
Data1;30;7.2111;1.00385
Data1;686;43.60046;2.17485
Data1;127;14.560220000000001;1.2154
Data1;20;6.4031199999999995;1.1418
Data1;24;6.7082;1.10263
Data1;66;10.295630000000001;1.03149
Data1;33;7.6157699999999995;1.16649
Data1;264;21.0238;1.13286
Data1;50;8.94427;1.05283
Data1;68;10.63015;1.0607799999999998
Data1;27;7.2111;1.1565299999999998
Data1;33;7.81025;1.07073
Data1;89;11.40175;1.0
Data1;85;12.08305;1.35775
Data1;51;9.48683;1.1627399999999999
Data1;123;14.42221;1.10942
Data1;47;8.94427;1.11676
Data1;126;18.38478;2.11402
Data1;41;8.60233;1.0979700000000001
Data1;193;19.31321;1.4299600000000001
Data1;75;10.81665;1.04541
Data1;24;7.2111;1.2423600000000001
Data1;43;8.60233;1.05656
Data1;919;37.73592;1.1419
Data1;55;9.84886;1.1391799999999999
Data1;46;8.60233;1.02006
Data1;56;10.0;1.16374
Data1;28;7.2111;1.05529
Data1;35;7.81025;1.0510700000000002
Data1;29;7.2111;1.04369
Data1;53;9.43398;1.10575
Data1;32;7.6157699999999995;1.12761
Data1;85;11.6619;1.02306
Data1;57;10.198039999999999;1.2143700000000002
Data1;36;7.81025;1.01178
Data1;80;11.6619;1.1090799999999998
Data1;30;7.2801100000000005;1.0791600000000001
Data1;286;20.88061;1.06329
Data1;112;13.41641;1.10889
Data1;48;8.94427;1.04231
Data1;55;10.295630000000001;1.24633
Data1;57;9.48683;1.08541
Data1;55;10.0;1.11356
Data1;74;10.81665;1.03495
Data1;47;9.84886;1.3531600000000001
Data1;31;7.81025;1.0836299999999999
Data1;89;12.04159;1.08972
Data1;67;10.295630000000001;1.0351700000000001
Data1;39;8.60233;1.08312
Data1;60;10.0;1.04693
Data1;148;19.41649;1.8668200000000001
Data1;52;9.21954;1.0817700000000001
Data1;372;23.70654;1.1056700000000002
Data1;61;10.295630000000001;1.12084
Data1;86;11.7047;1.0492299999999999
Data1;33;7.6157699999999995;1.07074
Data1;311;33.61547;2.2732200000000002
Data1;104;13.892439999999999;1.2242899999999999
Data1;21;6.4031199999999995;1.14689
Data1;33;7.81025;1.06839
Data1;37;8.246210000000001;1.26216
Data1;66;11.18034;1.3013299999999999
Data1;52;10.0;1.1325100000000001
Data1;33;7.81025;1.15298
Data1;31;7.2111;1.05777
Data1;28;7.2111;1.1760700000000002
Data1;27;7.07107;1.04758
Data1;179;21.840329999999998;1.82548
Data1;390;26.92582;1.28243
Data1;45;8.60233;1.02862
Data1;42;8.60233;1.09009
Data1;55;9.48683;1.11293
Data1;72;10.81665;1.0967
Data1;207;22.84732;2.00756
Data1;102;12.52996;1.0185
Data1;62;10.0;1.05209
Data1;337;23.32381;1.17028
Data1;65;10.0;1.0029
Data1;46;8.94427;1.10738
Data1;17;5.83095;1.19387
Data1;36;8.06226;1.1471200000000001
Data1;122;14.42221;1.12829
Data1;964;40.31129;1.26329
Data1;44;8.94427;1.15055
Data1;55;9.48683;1.09809
Data1;49;8.94427;1.03262
Data1;34;7.81025;1.08402
Data1;90;12.04159;1.04481
Data1;47;8.94427;1.09703
Data1;52;9.21954;1.02194
Data1;212;18.35756;1.10182
Data1;32;7.6157699999999995;1.1768100000000001
Data1;1834;94.36631;3.88657
Data1;386;25.07987;1.14775
Data1;33;7.81025;1.0539399999999999
Data1;87;11.7047;1.05377
Data1;35;8.48528;1.06548
Data1;35;7.81025;1.06516
Data1;60;10.81665;1.28837
Data1;313;21.9545;1.0851899999999999
Data1;54;9.43398;1.02086
Data1;45;8.94427;1.0481200000000002
Data1;285;28.44293;2.39811
Data1;23;6.4031199999999995;1.06325
Data1;103;14.42221;1.3698299999999999
Data1;61;10.0;1.0814700000000002
Data1;23;6.4031199999999995;1.0080200000000001
Data1;54;10.0;1.1419700000000002
Data1;40;8.60233;1.07996
Data1;38;8.06226;1.15876
Data1;79;11.7047;1.05788
Data1;456;27.459059999999997;1.1664700000000001
Data1;22;6.4031199999999995;1.1977200000000001
Data1;80;11.40175;1.03288
Data1;151;20.24846;2.07196
Data1;47;8.94427;1.0825799999999999
Data1;35;7.81025;1.05341
Data1;34;8.06226;1.11198
Data1;181;22.56103;2.22201
Data1;54;9.43398;1.06095
Data1;32;7.81025;1.14399
Data1;29;7.81025;1.09124
Data1;31;7.81025;1.1366100000000001
Data1;105;13.0384;1.12171
Data1;267;20.591260000000002;1.06705
Data1;27;6.7082;1.09158
Data1;29;7.2801100000000005;1.06726
Data1;33;7.81025;1.07074
Data1;53;10.0;1.2685799999999998
Data1;79;12.04159;1.2005700000000001
Data1;446;34.1321;1.9642400000000002
Data1;67;10.81665;1.1218
Data1;48;8.94427;1.0575299999999999
Data1;62;10.44031;1.16523
Data1;39;8.544;1.19177
Data1;30;7.2111;1.10659
Data1;96;12.206560000000001;1.07225
Data1;96;16.401220000000002;1.8768599999999998
Data1;44;8.544;1.06113
Data1;94;12.206560000000001;1.04244
Data1;51;9.48683;1.18946
Data1;32;7.81025;1.13444
Data1;51;9.43398;1.1062
Data1;96;12.52996;1.12842
Data1;57;10.0;1.03651
Data1;34;7.81025;1.10401
Data1;198;21.63331;1.52886
Data1;1949;55.56978;1.2080799999999998
Data1;31;7.81025;1.0723
Data1;74;10.81665;1.02185
Data1;86;12.08305;1.11934
Data1;19;5.83095;1.08334
Data1;39;8.48528;1.08271
Data1;188;20.61553;1.54778
Data1;115;17.804489999999998;2.13488
Data1;44;8.60233;1.0432700000000001
Data1;62;9.84886;1.04006
Data1;76;10.81665;1.04122
Data1;48;9.84886;1.37899
Data1;42;8.60233;1.06885
Data1;35;7.6157699999999995;1.0664799999999999
Data1;29;7.2111;1.07618
Data1;39;8.48528;1.08271
Data1;402;27.459059999999997;1.32861
Data1;45;8.94427;1.1787299999999998
Data1;62;10.04988;1.06325
Data1;23;7.07107;1.16307
Data1;571;31.62278;1.2435100000000001
Data1;33;7.6157699999999995;1.07074
Data1;26;7.2111;1.1301700000000001
Data1;128;18.78829;2.13728
Data1;26;7.2111;1.16182
Data1;50;11.40175;1.9137400000000002
Data1;59;9.84886;1.0326
Data1;50;10.0;1.26044
Data1;207;24.041629999999998;1.9676099999999999
Data1;29;7.81025;1.21462
Data1;59;9.84886;1.04811
Data1;34;7.81025;1.10579
Data1;62;10.198039999999999;1.1112600000000001
Data1;154;15.81139;1.10568
Data1;351;26.30589;1.49773
Data1;30;8.06226;1.40006
Data1;51;9.43398;1.10742
Data1;53;9.43398;1.0246600000000001
Data1;44;8.94427;1.14099
Data1;143;19.92486;1.96145
Data1;86;11.40175;1.05365
Data1;161;20.80865;2.0559
Data1;131;14.42221;1.0757
Data1;136;15.264339999999999;1.14421
Data1;40;8.94427;1.26024
Data1;36;8.06226;1.15734
Data1;43;8.60233;1.06244
Data1;33;7.81025;1.07073
Data1;33;7.6157699999999995;1.12652
Data1;256;20.0;1.07502
Data1;900;62.24146999999999;2.92873
Data1;21;6.4031199999999995;1.08883
Data1;279;26.419690000000003;1.7946799999999998
Data1;124;17.08801;1.7739599999999998
Data1;30;7.2111;1.02536
Data1;53;9.21954;1.0601399999999999
Data1;62;10.0;1.07039
Data1;93;12.64911;1.18056
Data1;26;7.07107;1.09254
Data1;80;11.40175;1.05562
Data1;50;8.94427;1.0533
Data1;30;7.2801100000000005;1.06269
Data1;53;9.48683;1.15572
Data1;36;7.81025;1.09924
Data1;47;9.21954;1.1247
Data1;59;9.84886;1.04811
Data1;32;7.81025;1.12836
Data1;40;8.246210000000001;1.0323799999999999
Data1;76;11.40175;1.13296
Data1;37;8.06226;1.11354
Data1;101;13.0384;1.1853799999999999
Data1;50;9.43398;1.11284
Data1;44;8.60233;1.04603
Data1;432;40.22437;2.80096
Data1;105;13.0384;1.10684
Data1;42;8.60233;1.1221
Data1;48;9.21954;1.1123399999999999
Data1;153;18.973670000000002;1.79925
Data1;72;10.63015;1.0469700000000002
Data1;55;10.0;1.11356
Data1;45;8.94427;1.03025
Data1;118;18.60108;2.18597
Data1;44;8.60233;1.0327899999999999
Data1;130;14.560220000000001;1.12632
Data1;77;12.04159;1.16293
Data1;32;7.81025;1.1831
Data1;475;29.83287;1.2242
Data1;277;20.24846;1.01597
Data1;36;7.81025;1.10541
Data1;83;15.264339999999999;2.06948
Data1;239;20.12461;1.15129
Data1;40;8.48528;1.02811
Data1;57;10.0;1.10626
Data1;21;6.4031199999999995;1.08883
Data1;36;7.81025;1.09924
Data1;121;14.317820000000001;1.1526299999999998
Data1;66;13.60147;2.09623
Data1;24;7.07107;1.0095399999999999
Data1;195;21.840329999999998;1.6902099999999998
Data1;169;16.15549;1.09384
Data1;60;10.0;1.10097
Data1;38;8.06226;1.07765
Data1;48;8.94427;1.04231
Data1;97;13.892439999999999;1.30795
Data1;27;6.7082;1.09158
Data1;32;7.81025;1.12836
Data1;843;53.160140000000006;1.8376
Data1;58;10.77033;1.40365
Data1;32;7.81025;1.1020299999999998
Data1;165;20.24846;1.65398
Data1;131;19.72308;2.2330200000000002
Data1;50;9.43398;1.1579899999999999
Data1;289;33.28663;3.09057
Data1;37;8.06226;1.13937
Data1;53;9.43398;1.08113
Data1;37;8.60233;1.25255
Data1;50;9.43398;1.13895
Data1;76;11.18034;1.05156
Data1;36;7.81025;1.06202
Data1;39;8.06226;1.02786
Data1;80;12.04159;1.11063
Data1;106;13.892439999999999;1.21621
Data1;91;12.206560000000001;1.07324
Data1;116;13.892439999999999;1.0876700000000001
Data1;73;10.81665;1.05243
Data1;1491;70.5762;2.68925
Data1;38;8.06226;1.0801
Data1;33;7.81025;1.14037
Data1;69;10.77033;1.09965
Data1;163;20.396079999999998;1.9645700000000001
Data1;61;10.0;1.07447
Data1;25;7.07107;1.1849100000000001
Data1;184;17.20465;1.0880100000000001
Data1;39;8.06226;1.02786
Data1;299;24.41311;1.45489
Data1;159;21.18962;2.10622
Data1;24;6.7082;1.1377899999999999
Data1;23;6.7082;1.18213
Data1;55;9.89949;1.0978299999999999
Data1;44;9.21954;1.1015
Data1;114;17.20465;2.01622
Data1;100;13.41641;1.23805
Data1;43;8.60233;1.16861
Data1;69;11.40175;1.26661
Data1;42;8.60233;1.14201
Data1;46;9.21954;1.11134
Data1;207;25.0;1.4005100000000001
Data1;1188;41.30375;1.08676
Data1;46;8.60233;1.02006
Data1;67;12.08305;1.44418
Data1;225;21.840329999999998;1.2414
Data1;51;9.43398;1.09836
Data1;68;10.77033;1.12285
Data1;35;7.81025;1.13154
Data1;1121;49.64877;1.63764
Data1;203;22.2036;1.8605599999999998
Data1;33;7.81025;1.1652200000000001
Data1;31;7.6157699999999995;1.1683299999999999
Data1;89;17.26268;2.74106
Data1;72;10.81665;1.0686799999999999
Data1;794;44.28318;1.57932
Data1;43;8.60233;1.06392
Data1;237;19.23538;1.10258
Data1;26;7.07107;1.07976
Data1;109;13.0384;1.09312
Data1;59;10.0;1.12525
Data1;41;8.60233;1.08429
Data1;62;10.198039999999999;1.06786
Data1;184;17.46425;1.1292
Data1;45;8.60233;1.05519
Data1;27;7.07107;1.04758
Data1;63;10.198039999999999;1.05894
Data1;181;21.840329999999998;2.03186
Data1;22;6.4031199999999995;1.10141
Data1;64;10.77033;1.21642
Data1;43;8.544;1.08532
Data1;163;20.88061;2.0672599999999997
Data1;63;10.63015;1.11551
Data1;1554;56.40035;1.54229
Data1;36;8.06226;1.1857
Data1;65;10.63015;1.10663
Data1;26;7.07107;1.07976
Data1;32;7.81025;1.1020299999999998
Data1;41;8.60233;1.14018
Data1;208;19.23538;1.28793
Data1;108;13.45362;1.0848799999999998
Data1;259;21.40093;1.17919
Data1;65;10.0;1.0003600000000001
Data1;374;27.65863;1.43747
Data1;94;12.206560000000001;1.02358
Data1;134;15.0;1.17194
Data1;96;17.02939;1.9883400000000002
Data1;93;12.206560000000001;1.11027
Data1;57;9.48683;1.03055
Data1;26;6.7082;1.03777
Data1;181;19.849429999999998;1.5184600000000001
Data1;25;7.07107;1.06453
Data1;67;10.63015;1.06287
Data1;93;12.08305;1.04695
Data1;32;7.6157699999999995;1.12164
Data1;34;7.81025;1.0038799999999999
Data1;57;11.40175;1.69102
Data1;274;23.853720000000003;1.20337
Data1;61;10.0;1.0835299999999999
Data1;89;11.7047;1.0357
Data1;26;7.2111;1.17391
Data1;32;7.6157699999999995;1.16697
Data1;45;8.60233;1.10942
Data1;33;7.81025;1.07074
Data1;75;12.04159;1.30754
Data1;95;14.42221;1.4506
Data1;70;11.40175;1.18856
Data1;22;7.07107;1.2879
Data1;32;7.81025;1.12836
Data1;36;7.81025;1.09924
Data1;42;8.60233;1.1233799999999998
Data1;38;8.06226;1.1057299999999999
Data1;81;11.6619;1.09503
Data1;38;8.48528;1.05619
Data1;62;10.198039999999999;1.11762
Data1;1074;55.71355;2.46327
Data1;93;12.206560000000001;1.0756299999999999
Data1;58;9.48683;1.05036
Data1;120;19.20937;2.4165200000000002
Data1;198;22.2036;1.7066400000000002
Data1;29;7.2111;1.06385
Data1;31;7.2111;1.05777
Data1;56;10.0;1.14832
Data1;37;8.246210000000001;1.16965
Data1;90;12.206560000000001;1.13432
Data1;216;18.43909;1.0949
Data1;683;39.44617;1.7068400000000001
Data1;1022;50.77401;1.60535
Data1;39;8.246210000000001;1.0672700000000002
Data1;40;8.246210000000001;1.11575
Data1;43;8.60233;1.08297
Data1;39;8.06226;1.03736
Data1;48;9.21954;1.10552
Data1;145;15.0;1.03919
Data1;60;9.84886;1.05326
Data1;83;11.7047;1.08087
Data1;66;10.295630000000001;1.02833
Data1;48;8.94427;1.06304
Data1;49;8.94427;1.07289
Data1;25;7.07107;1.19881
Data1;28;7.2111;1.11179
Data1;59;10.0;1.13037
Data1;54;10.0;1.21123
Data1;102;12.80625;1.0513700000000001
Data1;50;9.21954;1.01471
Data1;55;9.48683;1.06092
Data1;68;10.81665;1.09986
Data1;26;7.2111;1.11437
Data1;56;9.48683;1.0147700000000002
Data1;25;7.07107;1.19881
Data1;59;10.0;1.1446399999999999
Data1;24;6.7082;1.0979299999999999
Data1;50;9.48683;1.15559
Data1;320;26.076810000000002;1.44851
Data1;38;8.544;1.20577
Data1;41;8.544;1.096
Data1;85;11.7047;1.02581
Data1;53;9.43398;1.10575
Data1;45;8.60233;1.02667
Data1;29;7.2111;1.06445
Data1;550;38.27532;2.1757
Data1;69;10.81665;1.12604
Data1;41;8.246210000000001;1.0255299999999998
Data1;125;13.892439999999999;1.0186600000000001
Data1;26;6.7082;1.14898
Data1;47;8.60233;1.03149
Data1;26;6.7082;1.14898
Data1;140;18.43909;1.78072
Data1;101;15.81139;1.9758900000000001
Data1;306;21.9545;1.09805
Data1;32;8.246210000000001;1.4518
Data1;27;6.7082;1.09158
Data1;186;17.46425;1.10801
Data1;27;6.7082;1.0586
Data1;30;7.6157699999999995;1.12527
Data1;116;17.46425;2.1165
Data1;97;13.0;1.16499
Data1;60;10.44031;1.2780200000000002
Data1;26;6.7082;1.10115
Data1;704;34.43835;1.22885
Data1;67;14.42221;2.19294
Data1;40;8.60233;1.149
Data1;178;17.804489999999998;1.2601200000000001
Data1;177;16.643320000000003;1.04354
Data1;50;9.21954;1.0763
Data1;44;8.60233;1.0875700000000001
Data1;37;8.06226;1.13937
Data1;42;8.60233;1.02726
Data1;37;8.06226;1.11354
Data1;37;8.48528;1.1211200000000001
Data1;40;8.60233;1.0768
Data1;633;37.443290000000005;1.58138
Data1;26;7.2111;1.11338
Data1;312;22.36068;1.10981
Data1;24;7.07107;1.23564
Data1;177;16.15549;1.01734
Data1;414;27.294690000000003;1.30061
Data1;67;10.295630000000001;1.04599
Data1;28;7.81025;1.26342
Data1;91;12.206560000000001;1.09038
Data1;47;8.94427;1.09815
Data1;60;10.44031;1.15631
Data1;775;33.61547;1.08756
Data1;42;8.60233;1.05695
Data1;28;7.81025;1.19764
Data1;138;15.6205;1.17182
Data1;64;10.198039999999999;1.0898700000000001
Data1;41;8.48528;1.0897299999999999
Data1;45;9.21954;1.11032
Data1;35;8.06226;1.1435600000000001
Data1;80;11.40175;1.05562
Data1;53;9.43398;1.0548899999999999
Data1;37;7.81025;1.81886
Data1;51;9.48683;1.21811
Data1;66;10.295630000000001;1.06158
Data1;392;32.695570000000004;1.5659399999999999
Data1;52;9.43398;1.1081299999999998
Data1;51;9.43398;1.1062
Data1;37;7.81025;1.03722
Data1;30;7.81025;1.17489
Data1;243;19.92486;1.14542
Data1;765;43.41659;1.7837900000000002
Data1;29;7.2111;1.04369
Data1;23;7.07107;1.2022700000000002
Data1;30;7.81025;1.27055
Data1;35;7.81025;1.0943100000000001
Data1;93;12.206560000000001;1.0742
Data1;73;11.18034;1.13285
Data1;1151;60.53924;2.0424700000000002
Data1;1170;66.8431;3.07139
Data1;453;27.20294;1.1741700000000002
Data1;149;21.09502;2.30219
Data1;142;16.12452;1.25546
Data1;237;20.24846;1.23758
Data1;34;7.81025;1.14266
Data1;30;7.81025;1.04314
Data1;212;19.41649;1.2954299999999999
Data1;97;12.206560000000001;1.0377
Data1;43;8.60233;1.11853
Data1;43;8.60233;1.07521
Data1;63;10.295630000000001;1.1121
Data1;940;44.91102;1.5345600000000001
Data1;38;8.60233;1.1652799999999999
Data1;86;11.6619;1.0246600000000001
Data1;139;15.0;1.08322
Data1;22;6.4031199999999995;1.10141
Data1;244;20.0;1.13295
Data1;47;8.60233;1.00189
Data1;84;12.206560000000001;1.20679
Data1;105;17.88854;2.3231
Data1;34;7.81025;1.11222
Data1;39;8.06226;1.09653
Data1;143;19.69772;1.9445400000000002
Data1;129;17.02939;1.4630100000000001
Data1;47;8.60233;1.0019
Data1;58;9.84886;1.06803
Data1;38;8.06226;1.02173
Data1;33;7.81025;1.07073
Data1;37;8.60233;1.2263700000000002
Data1;104;13.0384;1.11389
Data1;47;8.60233;1.00189
Data1;25;7.2111;1.22819
Data1;314;21.63331;1.07447
Data1;142;15.81139;1.15393
Data1;50;9.43398;1.0444
Data1;56;10.0;1.0931799999999998
Data1;53;11.18034;1.57307
Data1;73;10.81665;1.08312
Data1;53;13.60147;2.48572
Data1;50;8.94427;1.05282
Data1;31;7.2801100000000005;1.0363200000000001
Data1;52;9.43398;1.11179
Data1;324;21.9545;1.0389899999999999
Data1;45;9.21954;1.16845
Data1;64;10.198039999999999;1.0898700000000001
Data1;1173;43.41659;1.17632
Data1;59;10.0;1.13115
Data1;26;7.2111;1.14795
Data1;40;8.246210000000001;1.07172
Data1;46;8.60233;1.0631
Data1;60;10.0;1.11687
Data1;27;7.2111;1.1271
Data1;134;14.42221;1.00665
Data1;56;9.48683;1.09801
Data1;31;7.81025;1.22275
Data1;63;11.40175;1.29387
Data1;17;5.83095;1.17349
Data1;108;13.0;1.04715
Data1;39;8.60233;1.15012
Data1;36;8.60233;1.19329
Data1;32;7.2111;1.0
Data1;34;7.81025;1.10402
Data1;221;18.02776;1.02075
Data1;79;11.40175;1.09566
Data1;80;13.892439999999999;1.6909900000000002
Data1;39;8.48528;1.05778
Data1;444;30.88689;1.65268
Data1;46;8.60233;1.0466799999999998
Data1;21;6.4031199999999995;1.18184
Data1;104;13.0384;1.04105
Data1;65;11.40175;1.3999700000000002
Data1;18;6.4031199999999995;1.19
Data1;41;8.60233;1.10706
Data1;20;6.0827599999999995;1.00814
Data1;58;10.0;1.1219700000000001
Data1;501;27.51363;1.10525
Data1;19;6.4031199999999995;1.19082
Data1;428;29.120440000000002;1.51478
Data1;31;7.6157699999999995;1.0846799999999999
Data1;114;13.15295;1.03528
Data1;29;7.2111;1.10248
Data1;28;7.07107;1.07368
Data1;82;11.40175;1.0463799999999999
Data1;428;24.698179999999997;1.01235
Data1;29;7.2111;1.06445
Data1;24;6.7082;1.12741
Data1;30;7.2801100000000005;1.16657
Data1;83;11.40175;1.07857
Data1;48;8.94427;1.04231
Data1;39;8.60233;1.22878
Data1;133;14.42221;1.03916
Data1;211;18.78829;1.1548399999999999
Data1;34;7.81025;1.09846
Data1;52;9.43398;1.0936
Data1;539;49.73932;2.87375
Data1;54;10.0;1.0978700000000001
Data1;219;23.76973;1.77388
Data1;55;9.48683;1.11293
Data1;54;10.0;1.0978700000000001
Data1;794;36.674240000000005;1.2848899999999999
Data1;59;10.0;1.1017700000000001
Data1;67;10.81665;1.17034
Data1;243;22.84732;1.54692
Data1;34;7.81025;1.08402
Data1;33;7.6157699999999995;1.12652
Data1;103;12.72792;1.01714
Data1;146;16.27882;1.28303
Data1;173;18.02776;1.28526
Data1;64;10.0;1.0300799999999999
Data1;27;6.7082;1.09158
Data1;31;7.81025;1.18369
Data1;60;10.0;1.0509
Data1;39;8.06226;1.03988
